order_id,customer_id,order_date,discount_amount,shipping_amount,order_status,payment_type
1,102,2024-04-17,0.00,8.99,Completed,Cash
2,20,2024-07-25,0.00,4.99,Completed,Cash
3,150,2025-09-01,0.00,8.99,Completed,Card
4,106,2025-07-10,0.00,14.99,Completed,Card
5,127,2025-04-06,0.00,4.99,Completed,PayPal
6,137,2024-03-31,0.00,4.99,Completed,PayPal
7,92,2025-02-15,0.00,6.99,Completed,PayPal
8,41,2023-12-26,0.06,14.99,Completed,PayPal
9,49,2024-10-15,0.15,14.99,Completed,Bank Transfer
10,157,2025-11-06,0.00,6.99,Completed,Card
11,59,2024-06-29,0.00,4.99,Completed,Card
12,8,2024-10-13,0.00,14.99,Completed,PayPal
13,48,2024-01-05,0.12,4.99,Completed,Bank Transfer
14,117,2023-03-15,0.00,8.99,Completed,Cash
15,84,2023-09-20,0.00,4.99,Completed,Cash
16,101,2025-03-02,0.00,14.99,Completed,Card
17,124,2023-06-10,0.00,8.99,Completed,Bank Transfer
18,111,2025-02-11,0.00,6.99,Completed,PayPal
19,75,2024-09-02,0.00,8.99,Completed,Bank Transfer
20,22,2023-03-16,0.09,6.99,Completed,PayPal
21,66,2025-09-15,0.00,8.99,Completed,PayPal
22,83,2025-10-29,0.05,6.99,Completed,Bank Transfer
23,125,2024-07-24,0.00,6.99,Completed,Card
24,20,2025-11-11,0.00,4.99,Completed,Card
25,38,2025-07-10,0.00,4.99,Completed,Cash
26,33,2024-10-09,0.00,6.99,Completed,Bank Transfer
27,124,2023-01-18,0.14,14.99,Completed,Card
28,54,2025-11-16,0.00,4.99,Completed,PayPal
29,43,2023-09-04,0.00,14.99,Completed,Card
30,152,2024-07-26,0.00,14.99,Completed,PayPal
31,21,2025-10-15,0.00,8.99,Completed,PayPal
32,46,2025-01-30,0.00,6.99,Completed,Card
33,16,2025-09-18,0.00,6.99,Completed,Card
34,93,2023-12-29,0.09,6.99,Completed,PayPal
35,159,2023-03-20,0.00,14.99,Completed,Bank Transfer
36,90,2024-04-01,0.00,6.99,Completed,Card
37,19,2024-03-10,0.00,8.99,Completed,Card
38,61,2023-09-08,0.07,4.99,Completed,Bank Transfer
39,96,2025-01-27,0.00,8.99,Completed,PayPal
40,47,2024-07-29,0.00,8.99,Completed,PayPal
41,110,2025-04-14,0.00,14.99,Completed,Card
42,62,2024-06-11,0.00,6.99,Completed,Cash
43,155,2024-08-23,0.07,8.99,Completed,PayPal
44,136,2024-11-13,0.00,6.99,Completed,Bank Transfer
45,39,2024-05-30,0.00,4.99,Completed,PayPal
46,24,2023-02-19,0.13,6.99,Completed,Card
47,64,2024-04-30,0.09,6.99,Completed,Cash
48,125,2025-07-06,0.00,14.99,Completed,Bank Transfer
49,18,2023-06-30,0.00,14.99,Completed,PayPal
50,73,2024-10-25,0.00,14.99,Completed,Bank Transfer
51,104,2024-12-03,0.00,14.99,Completed,Bank Transfer
52,76,2025-12-16,0.00,8.99,Completed,Card
53,41,2024-11-03,0.00,4.99,Completed,Card
54,159,2025-03-07,0.00,8.99,Completed,Card
55,99,2026-01-07,0.14,6.99,Completed,Bank Transfer
56,139,2025-02-04,0.13,14.99,Completed,Cash
57,93,2025-05-08,0.00,14.99,Completed,Card
58,121,2024-11-30,0.07,8.99,Completed,Cash
59,147,2024-08-18,0.13,6.99,Completed,Bank Transfer
60,158,2023-10-21,0.00,14.99,Completed,Bank Transfer
61,3,2025-04-22,0.00,14.99,Completed,Cash
62,65,2025-08-12,0.08,8.99,Completed,PayPal
63,28,2025-01-04,0.00,6.99,Completed,Card
64,34,2025-05-11,0.00,6.99,Completed,Cash
65,5,2025-10-31,0.00,6.99,Completed,Card
66,143,2023-01-13,0.00,4.99,Completed,Bank Transfer
67,160,2024-08-17,0.00,8.99,Completed,Card
68,107,2023-01-31,0.00,8.99,Completed,Card
69,17,2024-03-27,0.00,4.99,Completed,Cash
70,82,2024-08-18,0.00,14.99,Completed,Bank Transfer
